"","date","daily_consumption"
"1",2020-10-29,0.006
"2",2020-10-30,2.345
"3",2020-10-31,2.936
"4",2020-11-01,2.751
"5",2020-11-02,2.433
"6",2020-11-03,2.57
"7",2020-11-04,1.398
"8",2020-11-05,2.193
"9",2020-11-06,0
"10",2020-11-07,2.84
"11",2020-11-08,3.463
"12",2020-11-09,1.752
"13",2020-11-10,2.664
"14",2020-11-11,2.545
"15",2020-11-12,2.685
"16",2020-11-13,2.072
"17",2020-11-14,2.632
"18",2020-11-15,3.254
"19",2020-11-16,3.1
"20",2020-11-17,2.18
"21",2020-11-18,1.302
"22",2020-11-19,2.233
"23",2020-11-20,2.636
"24",2020-11-21,3.088
"25",2020-11-22,2.276
"26",2020-11-23,3.551
"27",2020-11-24,2.063
"28",2020-11-25,2.991
"29",2020-11-26,3.353
"30",2020-11-27,2.906
"31",2020-11-28,3.844
"32",2020-11-29,2.82
"33",2020-11-30,4.628
"34",2020-12-01,3.762
"35",2020-12-02,2.692
"36",2020-12-03,4.891
"37",2020-12-04,2.74
"38",2020-12-05,3.724
"39",2020-12-06,4.544
"40",2020-12-07,3.275
"41",2020-12-08,3.46
"42",2020-12-09,4.515
"43",2020-12-10,4.34
"44",2020-12-11,2.929
"45",2020-12-12,3.689
"46",2020-12-13,4.058
"47",2020-12-16,0.002
"48",2020-12-17,3.163
"49",2020-12-18,2.112
"50",2020-12-19,3.34
"51",2020-12-20,3.78
"52",2020-12-21,2.959
"53",2020-12-22,2.947
"54",2020-12-23,2.553
"55",2020-12-24,4.798
"56",2020-12-25,4.765
"57",2020-12-26,4.158
"58",2020-12-27,3.569
"59",2020-12-28,6.069
"60",2020-12-29,5.102
"61",2020-12-30,4.846
"62",2020-12-31,4.703
"63",2021-01-01,5.686
"64",2021-01-02,4.601
"65",2021-01-03,2.932
"66",2021-01-04,4.976
"67",2021-01-05,5.102
"68",2021-01-06,4.544
"69",2021-01-07,4.829
"70",2021-01-08,4.49
"71",2021-01-09,4.679
"72",2021-01-10,4.962
"73",2021-01-11,4.297
"74",2021-01-12,3.884
"75",2021-01-13,4.48
"76",2021-01-14,5.5
"77",2021-01-15,4.184
"78",2021-01-16,5.605
"79",2021-01-17,4.15
"80",2021-01-18,4.519
"81",2021-01-19,4.582
"82",2021-01-20,3.42
"83",2021-01-21,4.014
"84",2021-01-22,4.126
"85",2021-01-23,4.613
"86",2021-01-24,3.092
"87",2021-01-25,5.123
"88",2021-01-26,0
"89",2021-01-27,4.393
"90",2021-01-28,3.196
"91",2021-01-29,3.114
"92",2021-01-30,4.054
"93",2021-01-31,4.345
"94",2021-02-01,4.372
"95",2021-02-02,4.725
"96",2021-02-03,3.329
"97",2021-02-04,3.803
"98",2021-02-05,3.465
"99",2021-02-06,3.861
"100",2021-02-07,3.081
"101",2021-02-08,5.619
"102",2021-02-09,4.616
"103",2021-02-10,4.607
"104",2021-02-11,5.58
"105",2021-02-12,5.654
"106",2021-02-13,5.438
"107",2021-02-14,4.743
"108",2021-02-15,6.778
"109",2021-02-16,3.427
"110",2021-02-17,3.382
"111",2021-02-18,5.65
"112",2021-02-19,3.653
"113",2021-02-20,4.054
"114",2021-02-21,2.055
"115",2021-02-22,2.683
"116",2021-02-23,3.232
"117",2021-02-24,3.399
"118",2021-02-25,2.539
"119",2021-02-26,2.795
"120",2021-02-27,3.872
"121",2021-02-28,2.408
"122",2021-03-01,3.523
"123",2021-03-02,4.502
"124",2021-03-03,0
"125",2021-03-04,2.806
"126",2021-03-05,0.002
"127",2021-03-06,2.448
"128",2021-03-07,4.102
"129",2021-03-08,0.006
"130",2021-03-09,3.053
"131",2021-03-10,2.199
"132",2021-03-11,3.237
"133",2021-03-12,2.084
"134",2021-03-13,4.242
"135",2021-03-14,2.175
"136",2021-03-15,3.201
"137",2021-03-16,2.854
"138",2021-03-17,0
"139",2021-03-18,2.832
"140",2021-03-19,1.906
"141",2021-03-20,3.314
"142",2021-03-21,3.359
"143",2021-03-22,3.822
"144",2021-03-23,2.737
"145",2021-03-24,2.459
"146",2021-03-25,3.236
"147",2021-03-26,2.317
"148",2021-03-27,3.17
"149",2021-03-28,3.554
"150",2021-03-29,1.594
"151",2021-03-30,1.72
"152",2021-03-31,0.849
"153",2021-04-01,1.875
"154",2021-04-02,3.636
"155",2021-04-03,3.121
"156",2021-04-04,3.553
"157",2021-04-05,2.457
"158",2021-04-06,4.227
"159",2021-04-07,2.672
"160",2021-04-08,2.565
"161",2021-04-09,3.427
"162",2021-04-12,0
"163",2021-04-13,2.624
"164",2021-04-14,2.746
"165",2021-04-15,2.33
"166",2021-04-16,2.381
"167",2021-04-17,2.323
"168",2021-04-18,3.341
"169",2021-04-19,1.499
"170",2021-04-20,1.34
"171",2021-04-21,2.023
"172",2021-04-22,0.02
"173",2021-04-23,1.588
"174",2021-04-24,2.965
"175",2021-04-25,1.427
"176",2021-04-26,0.86
"177",2021-04-27,0.104
"178",2021-04-28,0.935
"179",2021-04-29,0.227
"180",2021-04-30,0.626
"181",2021-05-01,0.513
"182",2021-05-02,1.279
"183",2021-05-03,1.614
"184",2021-05-04,1.43
"185",2021-05-05,0.605
"186",2021-05-06,0.683
"187",2021-05-07,0.416
"188",2021-05-08,0.431
"189",2021-05-09,0.104
"190",2021-05-10,0.523
"191",2021-05-11,0.748
"192",2021-05-12,0.521
"193",2021-05-13,1.056
"194",2021-05-14,0.589
"195",2021-05-15,0.077
"196",2021-05-16,1.273
"197",2021-05-17,0.125
"198",2021-05-18,0.135
"199",2021-05-19,0.258
"200",2021-05-20,1.03
"201",2021-05-21,1.926
"202",2021-05-22,1.568
"203",2021-05-23,0.272
"204",2021-05-24,0.123
"205",2021-05-25,0.647
"206",2021-05-26,0.532
"207",2021-05-27,0.591
"208",2021-05-28,0.778
"209",2021-05-29,0
"210",2021-05-30,0
"211",2021-05-31,0.592
"212",2021-06-01,0.167
"213",2021-06-02,0.406
"214",2021-06-03,0.555
"215",2021-06-04,0.117
"216",2021-06-05,0.148
"217",2021-06-06,0.343
"218",2021-06-07,0.191
"219",2021-06-08,0.049
"220",2021-06-09,0.196
"221",2021-06-10,0.012
"222",2021-06-11,0.64
"223",2021-06-12,0.399
"224",2021-06-13,0.542
"225",2021-06-14,0.308
"226",2021-06-15,1.202
"227",2021-06-16,0.391
"228",2021-06-17,0.196
"229",2021-06-18,0.168
"230",2021-06-19,1.012
"231",2021-06-20,1.718
"232",2021-06-21,0.153
"233",2021-06-22,0.742
"234",2021-06-23,0.805
"235",2021-06-24,0.091
"236",2021-06-25,0
"237",2021-06-26,0
"238",2021-06-27,0
"239",2021-06-28,0.432
"240",2021-06-29,0.946
"241",2021-06-30,0.165
"242",2021-07-01,0.853
"243",2021-07-02,0.168
"244",2021-07-03,1.162
"245",2021-07-04,1.074
"246",2021-07-05,0.326
"247",2021-07-06,0.162
"248",2021-07-07,0.563
"249",2021-07-08,0.724
"250",2021-07-09,0.054
"251",2021-07-10,0.028
"252",2021-07-11,0.88
"253",2021-07-12,0.315
"254",2021-07-13,0.383
"255",2021-07-14,0.644
"256",2021-07-15,0.38
"257",2021-07-16,0.761
"258",2021-07-17,0.9
"259",2021-07-18,0.629
"260",2021-07-19,1.398
"261",2021-07-20,0.419
"262",2021-07-21,0.114
"263",2021-07-22,0.776
"264",2021-07-23,0.61
"265",2021-07-24,0.714
"266",2021-07-25,0.442
"267",2021-07-26,0.094
"268",2021-07-27,0.516
"269",2021-07-28,0.694
"270",2021-07-29,0.269
"271",2021-07-30,0.806
"272",2021-07-31,0.513
"273",2021-08-01,0.48
"274",2021-08-02,0.421
"275",2021-08-03,0.234
"276",2021-08-04,0.133
"277",2021-08-05,0.277
"278",2021-08-06,0.067
"279",2021-08-07,0.535
"280",2021-08-08,0.239
"281",2021-08-09,0.267
"282",2021-08-10,0.755
"283",2021-08-11,0.65
"284",2021-08-12,0.435
"285",2021-08-13,0.154
"286",2021-08-14,1.166
"287",2021-08-15,0.673
"288",2021-08-16,0.162
"289",2021-08-17,0.953
"290",2021-08-18,0.233
"291",2021-08-19,1.309
"292",2021-08-20,0.482
"293",2021-08-21,0.4
"294",2021-08-22,0.41
"295",2021-08-23,0.459
"296",2021-08-24,0.218
"297",2021-08-25,0.342
"298",2021-08-26,0.965
"299",2021-08-27,0.478
"300",2021-08-28,0.09
"301",2021-08-29,0.18
"302",2021-08-30,0.697
"303",2021-08-31,0.1
"304",2021-09-01,0.225
"305",2021-09-02,0.287
"306",2021-09-03,0.029
"307",2021-09-04,1.333
"308",2021-09-05,0.555
"309",2021-09-06,0.402
"310",2021-09-07,0.616
"311",2021-09-08,0.647
"312",2021-09-09,0.243
"313",2021-09-10,0
"314",2021-09-11,0.262
"315",2021-09-12,0.505
"316",2021-09-13,0.479
"317",2021-09-14,1.043
"318",2021-09-15,0.74
"319",2021-09-16,0.158
"320",2021-09-17,0.32
"321",2021-09-18,0.488
"322",2021-09-19,0.687
"323",2021-09-20,0.171
"324",2021-09-21,0
"325",2021-09-22,0.19
"326",2021-09-23,0.424
"327",2021-09-24,0.879
"328",2021-09-25,0.749
"329",2021-09-26,1.427
"330",2021-09-27,0.424
"331",2021-09-28,0.154
"332",2021-09-29,0.554
"333",2021-09-30,0.118
"334",2021-10-01,0.457
"335",2021-10-02,1.62
"336",2021-10-03,0.421
"337",2021-10-04,1.058
"338",2021-10-05,0.712
"339",2021-10-06,0.699
"340",2021-10-07,0.392
"341",2021-10-08,0.602
"342",2021-10-09,1.019
"343",2021-10-10,0.903
"344",2021-10-11,0.39
"345",2021-10-12,0.531
"346",2021-10-13,0.801
"347",2021-10-14,1.059
"348",2021-10-15,0.369
"349",2021-10-16,0.822
"350",2021-10-17,1.204
"351",2021-10-18,1.155
"352",2021-10-19,0.98
"353",2021-10-20,0.374
"354",2021-10-21,0.383
"355",2021-10-22,0.543
"356",2021-10-23,0.57
"357",2021-10-24,0.144
"358",2021-10-25,0.424
"359",2021-10-26,0.699
"360",2021-10-27,0.919
"361",2021-10-28,0.489
"362",2021-10-29,0.898
"363",2021-10-30,0.757
"364",2021-10-31,1.047
"365",2021-11-01,0.774
"366",2021-11-02,1.314
"367",2021-11-03,2.536
"368",2021-11-04,1.355
"369",2021-11-05,2.057
"370",2021-11-06,1.326
"371",2021-11-07,2.475
"372",2021-11-08,2.253
"373",2021-11-09,1.319
"374",2021-11-10,0.614
"375",2021-11-11,2.056
"376",2021-11-12,2.081
"377",2021-11-13,0.819
"378",2021-11-14,1.52
"379",2021-11-15,0.664
"380",2021-11-16,0.732
"381",2021-11-17,1.322
"382",2021-11-18,1.52
"383",2021-11-19,1.53
"384",2021-11-20,1.375
"385",2021-11-21,3.299
"386",2021-11-22,2.095
"387",2021-11-23,0.952
"388",2021-11-24,1.666
"389",2021-11-25,1.325
"390",2021-11-26,1.865
"391",2021-11-27,2.494
"392",2021-11-28,3.594
"393",2021-11-29,1.932
"394",2021-11-30,1.485
"395",2021-12-01,1.13
"396",2021-12-02,0.808
"397",2021-12-03,2.175
"398",2021-12-04,2.993
"399",2021-12-05,2.309
"400",2021-12-06,3.121
"401",2021-12-07,2.802
"402",2021-12-08,1.785
"403",2021-12-09,0.645
"404",2021-12-10,2.824
"405",2021-12-11,0.018
"406",2021-12-12,2.258
"407",2021-12-13,1.546
"408",2021-12-14,2.534
"409",2021-12-15,2.071
"410",2021-12-16,1.135
"411",2021-12-17,2.118
"412",2021-12-18,2.491
"413",2021-12-19,0
"414",2021-12-20,2.29
"415",2021-12-21,2.559
"416",2021-12-22,4.317
"417",2021-12-23,2.284
"418",2021-12-24,2.167
"419",2021-12-25,2.563
"420",2021-12-26,2.028
"421",2021-12-27,2.409
"422",2021-12-28,3.208
"423",2021-12-29,2.353
"424",2021-12-30,1.417
"425",2021-12-31,2.398
"426",2022-01-01,1.696
"427",2022-01-02,2.578
"428",2022-01-03,2.715
"429",2022-01-04,2.018
"430",2022-01-05,2.291
"431",2022-01-06,3.396
"432",2022-01-07,4.176
"433",2022-01-08,2.556
"434",2022-01-09,2.69
"435",2022-01-10,2.893
"436",2022-01-11,2.186
"437",2022-01-12,0
"438",2022-01-13,2.242
"439",2022-01-14,2.327
"440",2022-01-15,2.506
"441",2022-01-16,2.895
"442",2022-01-17,2.727
"443",2022-01-18,2.446
"444",2022-01-19,2.372
"445",2022-01-20,2.725
"446",2022-01-21,2.638
"447",2022-01-22,2.596
"448",2022-01-23,2.678
"449",2022-01-24,2.531
"450",2022-01-25,2.222
"451",2022-01-26,2.754
"452",2022-01-27,3.223
"453",2022-01-28,2.082
"454",2022-01-29,1.795
"455",2022-01-30,2.708
"456",2022-01-31,2.071
"457",2022-02-01,1.785
"458",2022-02-02,2.166
"459",2022-02-03,2.642
"460",2022-02-04,2.731
"461",2022-02-05,2.069
"462",2022-02-06,1.727
"463",2022-02-07,2.863
"464",2022-02-08,1.633
"465",2022-02-09,1.9
"466",2022-02-10,1.788
"467",2022-02-11,2.757
"468",2022-02-12,3.322
"469",2022-02-13,2.082
"470",2022-02-14,2.184
"471",2022-02-15,1.795
"472",2022-02-16,2.119
"473",2022-02-17,2.374
"474",2022-02-18,1.94
"475",2022-02-19,1.84
"476",2022-02-20,2.41
"477",2022-02-21,2.261
"478",2022-02-22,2.346
"479",2022-02-23,2.236
"480",2022-02-24,2.648
"481",2022-02-25,2.058
"482",2022-02-26,2.224
"483",2022-02-27,1.285
"484",2022-02-28,2.061
"485",2022-03-01,3.247
"486",2022-03-02,1.625
"487",2022-03-03,2.798
"488",2022-03-04,1.742
"489",2022-03-05,1.944
"490",2022-03-06,2.756
"491",2022-03-07,2.778
"492",2022-03-08,2.509
"493",2022-03-09,1.964
